onset	duration	trial_type	value	sample	story	story_uid	sound_id	kind	start	sound	phoneme	word	sequence_id	condition	word_index	speech_rate	voice	pronounced
18.389	0.0	sound	693	18389	lw1	0	0	sound	0	stimuli/audio/lw1_0.0.wav	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.389	0.08	phoneme	1	18389	lw1	0	0	phoneme	0	stimuli/audio/lw1_0.wav	t_B	n/a	0	sentence	0	205	Allison	1
18.389	0.3	word	694	18389	lw1	0	0	word	0	stimuli/audio/lw1_0.wav	n/a	Tara	0	sentence	0	205	Allison	1
18.469	0.09	phoneme	2	18469	lw1	0	0	phoneme	0.08	stimuli/audio/lw1_0.wav	eh_I	n/a	0	sentence	0	205	Allison	1
18.559	0.0699999999999999	phoneme	3	18559	lw1	0	0	phoneme	0.17	stimuli/audio/lw1_0.wav	r_I	n/a	0	sentence	0	205	Allison	1
18.629	0.06	phoneme	4	18629	lw1	0	0	phoneme	0.24	stimuli/audio/lw1_0.wav	ah_E	n/a	0	sentence	0	205	Allison	1
18.699	0.06	phoneme	5	18699	lw1	0	0	phoneme	0.31	stimuli/audio/lw1_0.wav	s_B	n/a	0	sentence	1	205	Allison	1
18.699	0.24	word	695	18699	lw1	0	0	word	0.31	stimuli/audio/lw1_0.wav	n/a	stood	0	sentence	1	205	Allison	1
18.759	0.0399999999999999	phoneme	6	18759	lw1	0	0	phoneme	0.37	stimuli/audio/lw1_0.wav	t_I	n/a	0	sentence	1	205	Allison	1
18.799	0.08	phoneme	7	18799	lw1	0	0	phoneme	0.41	stimuli/audio/lw1_0.wav	uh_I	n/a	0	sentence	1	205	Allison	1
18.879	0.06	phoneme	8	18879	lw1	0	0	phoneme	0.49	stimuli/audio/lw1_0.wav	d_E	n/a	0	sentence	1	205	Allison	1
18.939	0.0499999999999999	phoneme	9	18939	lw1	0	0	phoneme	0.55	stimuli/audio/lw1_0.wav	s_B	n/a	0	sentence	2	205	Allison	1
18.939	0.37	word	696	18939	lw1	0	0	word	0.55	stimuli/audio/lw1_0.wav	n/a	stock	0	sentence	2	205	Allison	1
18.989	0.07	phoneme	10	18989	lw1	0	0	phoneme	0.6	stimuli/audio/lw1_0.wav	t_I	n/a	0	sentence	2	205	Allison	1
19.059	0.12	phoneme	11	19059	lw1	0	0	phoneme	0.67	stimuli/audio/lw1_0.wav	aa_I	n/a	0	sentence	2	205	Allison	1
19.179	0.13	phoneme	12	19179	lw1	0	0	phoneme	0.79	stimuli/audio/lw1_0.wav	k_E	n/a	0	sentence	2	205	Allison	1
19.469	0.0799999999999998	phoneme	13	19469	lw1	0	0	phoneme	1.08	stimuli/audio/lw1_0.wav	s_B	n/a	0	sentence	3	205	Allison	1
19.469	0.3999999999999999	word	697	19469	lw1	0	0	word	1.08	stimuli/audio/lw1_0.wav	n/a	still	0	sentence	3	205	Allison	1
19.549	0.07	phoneme	14	19549	lw1	0	0	phoneme	1.16	stimuli/audio/lw1_0.wav	t_I	n/a	0	sentence	3	205	Allison	1
19.619	0.1100000000000001	phoneme	15	19619	lw1	0	0	phoneme	1.23	stimuli/audio/lw1_0.wav	ih_I	n/a	0	sentence	3	205	Allison	1
19.729	0.1399999999999999	phoneme	16	19729	lw1	0	0	phoneme	1.34	stimuli/audio/lw1_0.wav	l_E	n/a	0	sentence	3	205	Allison	1
20.019	0.1400000000000001	phoneme	17	20019	lw1	0	0	phoneme	1.63	stimuli/audio/lw1_0.wav	w_B	n/a	0	sentence	4	205	Allison	1
