onset	duration	trial_type	value	sample	story	story_uid	sound_id	kind	start	sound	phoneme	word	sequence_id	condition	word_index	speech_rate	voice	pronounced
22.603	0.0	sound	1291	22603	The_Black_Willow	3	0	sound	0	stimuli/audio/The_Black_Willow_0.0.wav	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.603	0.05	phoneme	1	22603	The_Black_Willow	3	0	phoneme	0	stimuli/audio/The_Black_Willow_0.wav	dh_B	n/a	0	sentence	0	205	Samantha	1
22.603	0.08	word	1292	22603	The_Black_Willow	3	0	word	0	stimuli/audio/The_Black_Willow_0.wav	n/a	The	0	sentence	0	205	Samantha	1
22.653	0.03	phoneme	2	22653	The_Black_Willow	3	0	phoneme	0.05	stimuli/audio/The_Black_Willow_0.wav	ah_E	n/a	0	sentence	0	205	Samantha	1
22.683	0.0699999999999999	phoneme	3	22683	The_Black_Willow	3	0	phoneme	0.08	stimuli/audio/The_Black_Willow_0.wav	b_B	n/a	0	sentence	1	205	Samantha	1
22.683	0.31	word	1293	22683	The_Black_Willow	3	0	word	0.08	stimuli/audio/The_Black_Willow_0.wav	n/a	Black	0	sentence	1	205	Samantha	1
22.753	0.06	phoneme	4	22753	The_Black_Willow	3	0	phoneme	0.15	stimuli/audio/The_Black_Willow_0.wav	l_I	n/a	0	sentence	1	205	Samantha	1
22.813	0.09	phoneme	5	22813	The_Black_Willow	3	0	phoneme	0.21	stimuli/audio/The_Black_Willow_0.wav	ae_I	n/a	0	sentence	1	205	Samantha	1
22.903	0.09	phoneme	6	22903	The_Black_Willow	3	0	phoneme	0.3	stimuli/audio/The_Black_Willow_0.wav	k_E	n/a	0	sentence	1	205	Samantha	1
22.993	0.06	phoneme	7	22993	The_Black_Willow	3	0	phoneme	0.39	stimuli/audio/The_Black_Willow_0.wav	w_B	n/a	0	sentence	2	205	Samantha	1
22.993	0.4	word	1294	22993	The_Black_Willow	3	0	word	0.39	stimuli/audio/The_Black_Willow_0.wav	n/a	Willow	0	sentence	2	205	Samantha	1
23.053	0.08	phoneme	8	23053	The_Black_Willow	3	0	phoneme	0.45	stimuli/audio/The_Black_Willow_0.wav	ih_I	n/a	0	sentence	2	205	Samantha	1
23.133	0.0799999999999999	phoneme	9	23133	The_Black_Willow	3	0	phoneme	0.53	stimuli/audio/The_Black_Willow_0.wav	l_I	n/a	0	sentence	2	205	Samantha	1
23.213	0.18	phoneme	10	23213	The_Black_Willow	3	0	phoneme	0.61	stimuli/audio/The_Black_Willow_0.wav	ow_E	n/a	0	sentence	2	205	Samantha	1
23.893	0.1299999999999999	phoneme	11	23893	The_Black_Willow	3	0	phoneme	1.29	stimuli/audio/The_Black_Willow_0.wav	ae_B	n/a	1	sentence	0	205	Samantha	1
23.893	0.29	word	1295	23893	The_Black_Willow	3	0	word	1.29	stimuli/audio/The_Black_Willow_0.wav	n/a	Allan	1	sentence	0	205	Samantha	1
24.023	0.05	phoneme	12	24023	The_Black_Willow	3	0	phoneme	1.42	stimuli/audio/The_Black_Willow_0.wav	l_I	n/a	1	sentence	0	205	Samantha	1
24.073	0.05	phoneme	13	24073	The_Black_Willow	3	0	phoneme	1.47	stimuli/audio/The_Black_Willow_0.wav	ah_I	n/a	1	sentence	0	205	Samantha	1
24.123	0.06	phoneme	14	24123	The_Black_Willow	3	0	phoneme	1.52	stimuli/audio/The_Black_Willow_0.wav	n_E	n/a	1	sentence	0	205	Samantha	1
24.183	0.0899999999999998	phoneme	15	24183	The_Black_Willow	3	0	phoneme	1.58	stimuli/audio/The_Black_Willow_0.wav	s_B	n/a	1	sentence	1	205	Samantha	1
24.183	0.24	word	1296	24183	The_Black_Willow	3	0	word	1.58	stimuli/audio/The_Black_Willow_0.wav	n/a	sat	1	sentence	1	205	Samantha	1
24.273	0.09	phoneme	16	24273	The_Black_Willow	3	0	phoneme	1.67	stimuli/audio/The_Black_Willow_0.wav	ae_I	n/a	1	sentence	1	205	Samantha	1
24.363	0.06	phoneme	17	24363	The_Black_Willow	3	0	phoneme	1.76	stimuli/audio/The_Black_Willow_0.wav	t_E	n/a	1	sentence	1	205	Samantha	1
24.423	0.0599999999999998	phoneme	18	24423	The_Black_Willow	3	0	phoneme	1.82	stimuli/audio/The_Black_Willow_0.wav	d_B	n/a	1	sentence	2	205	Samantha	1
24.423	0.2199999999999999	word	1297	24423	The_Black_Willow	3	0	word	1.82	stimuli/audio/The_Black_Willow_0.wav	n/a	down	1	sentence	2	205	Samantha	1
24.483	0.1100000000000001	phoneme	19	24483	The_Black_Willow	3	0	phoneme	1.88	stimuli/audio/The_Black_Willow_0.wav	aw_I	n/a	1	sentence	2	205	Samantha	1
24.593	0.05	phoneme	20	24593	The_Black_Willow	3	0	phoneme	1.99	stimuli/audio/The_Black_Willow_0.wav	n_E	n/a	1	sentence	2	205	Samantha	1
