onset	duration	trial_type	value	sample	story	story_uid	sound_id	kind	start	sound	phoneme	word	sequence_id	condition	word_index	speech_rate	voice	pronounced
15.95	0.0	sound	913	15950	easy_money	2	0	sound	0	stimuli/audio/easy_money_0.0.wav	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.0	0.0999999999999999	phoneme	1	16000	easy_money	2	0	phoneme	0.05	stimuli/audio/easy_money_0.wav	iy_B	n/a	0	sentence	0	160	Allison	1
16.0	0.29	word	914	16000	easy_money	2	0	word	0.05	stimuli/audio/easy_money_0.wav	n/a	Easy	0	sentence	0	160	Allison	1
16.1	0.1	phoneme	2	16100	easy_money	2	0	phoneme	0.15	stimuli/audio/easy_money_0.wav	z_I	n/a	0	sentence	0	160	Allison	1
16.2	0.09	phoneme	3	16200	easy_money	2	0	phoneme	0.25	stimuli/audio/easy_money_0.wav	iy_E	n/a	0	sentence	0	160	Allison	1
16.29	0.06	phoneme	4	16290	easy_money	2	0	phoneme	0.34	stimuli/audio/easy_money_0.wav	m_B	n/a	0	sentence	1	160	Allison	1
16.29	0.31	word	915	16290	easy_money	2	0	word	0.34	stimuli/audio/easy_money_0.wav	n/a	Money	0	sentence	1	160	Allison	1
16.35	0.0899999999999999	phoneme	5	16350	easy_money	2	0	phoneme	0.4	stimuli/audio/easy_money_0.wav	ah_I	n/a	0	sentence	1	160	Allison	1
16.44	0.07	phoneme	6	16440	easy_money	2	0	phoneme	0.49	stimuli/audio/easy_money_0.wav	n_I	n/a	0	sentence	1	160	Allison	1
16.51	0.0899999999999999	phoneme	7	16510	easy_money	2	0	phoneme	0.56	stimuli/audio/easy_money_0.wav	iy_E	n/a	0	sentence	1	160	Allison	1
16.6	0.0699999999999999	phoneme	8	16600	easy_money	2	0	phoneme	0.65	stimuli/audio/easy_money_0.wav	b_B	n/a	0	sentence	2	160	Allison	1
16.6	0.1999999999999999	word	916	16600	easy_money	2	0	word	0.65	stimuli/audio/easy_money_0.wav	n/a	by	0	sentence	2	160	Allison	1
16.67	0.13	phoneme	9	16670	easy_money	2	0	phoneme	0.72	stimuli/audio/easy_money_0.wav	ay_E	n/a	0	sentence	2	160	Allison	1
16.82	0.0699999999999999	phoneme	10	16820	easy_money	2	0	phoneme	0.87	stimuli/audio/easy_money_0.wav	b_B	n/a	0	sentence	3	160	Allison	1
16.82	0.2300000000000001	word	917	16820	easy_money	2	0	word	0.87	stimuli/audio/easy_money_0.wav	n/a	Bill	0	sentence	3	160	Allison	1
16.89	0.09	phoneme	11	16890	easy_money	2	0	phoneme	0.94	stimuli/audio/easy_money_0.wav	ih_I	n/a	0	sentence	3	160	Allison	1
16.98	0.07	phoneme	12	16980	easy_money	2	0	phoneme	1.03	stimuli/audio/easy_money_0.wav	l_E	n/a	0	sentence	3	160	Allison	1
17.05	0.0799999999999998	phoneme	13	17050	easy_money	2	0	phoneme	1.1	stimuli/audio/easy_money_0.wav	g_B	n/a	0	sentence	4	160	Allison	1
17.05	0.5499999999999998	word	918	17050	easy_money	2	0	word	1.1	stimuli/audio/easy_money_0.wav	n/a	Glover	0	sentence	4	160	Allison	1
17.13	0.1100000000000001	phoneme	14	17130	easy_money	2	0	phoneme	1.18	stimuli/audio/easy_money_0.wav	l_I	n/a	0	sentence	4	160	Allison	1
17.24	0.05	phoneme	15	17240	easy_money	2	0	phoneme	1.29	stimuli/audio/easy_money_0.wav	ah_I	n/a	0	sentence	4	160	Allison	1
17.29	0.0999999999999998	phoneme	16	17290	easy_money	2	0	phoneme	1.34	stimuli/audio/easy_money_0.wav	v_I	n/a	0	sentence	4	160	Allison	1
17.39	0.2099999999999999	phoneme	17	17390	easy_money	2	0	phoneme	1.44	stimuli/audio/easy_money_0.wav	er_E	n/a	0	sentence	4	160	Allison	1
18.15	0.1099999999999998	phoneme	300	18150	easy_money	2	0	phoneme	2.2	stimuli/audio/easy_money_0.wav	ch_B	n/a	1	sentence	0	160	Allison	1
18.15	0.3499999999999996	word	996	18150	easy_money	2	0	word	2.2	stimuli/audio/easy_money_0.wav	n/a	Charles	1	sentence	0	160	Allison	1
