onset	duration	trial_type	value	sample	story	story_uid	sound_id	kind	start	sound	phoneme	word	sequence_id	condition	word_index	speech_rate	voice	pronounced
35.154	0.0	sound	913	35154	easy_money	2	0	sound	0	stimuli/audio/easy_money_0.0.wav	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.204	0.0999999999999999	phoneme	1	35204	easy_money	2	0	phoneme	0.05	stimuli/audio/easy_money_0.wav	iy_B	n/a	0	sentence	0	160	Allison	1
35.204	0.29	word	914	35204	easy_money	2	0	word	0.05	stimuli/audio/easy_money_0.wav	n/a	Easy	0	sentence	0	160	Allison	1
35.304	0.1	phoneme	2	35304	easy_money	2	0	phoneme	0.15	stimuli/audio/easy_money_0.wav	z_I	n/a	0	sentence	0	160	Allison	1
35.404	0.09	phoneme	3	35404	easy_money	2	0	phoneme	0.25	stimuli/audio/easy_money_0.wav	iy_E	n/a	0	sentence	0	160	Allison	1
35.494	0.06	phoneme	4	35494	easy_money	2	0	phoneme	0.34	stimuli/audio/easy_money_0.wav	m_B	n/a	0	sentence	1	160	Allison	1
35.494	0.31	word	915	35494	easy_money	2	0	word	0.34	stimuli/audio/easy_money_0.wav	n/a	Money	0	sentence	1	160	Allison	1
35.554	0.0899999999999999	phoneme	5	35554	easy_money	2	0	phoneme	0.4	stimuli/audio/easy_money_0.wav	ah_I	n/a	0	sentence	1	160	Allison	1
35.644	0.07	phoneme	6	35644	easy_money	2	0	phoneme	0.49	stimuli/audio/easy_money_0.wav	n_I	n/a	0	sentence	1	160	Allison	1
35.714	0.0899999999999999	phoneme	7	35714	easy_money	2	0	phoneme	0.56	stimuli/audio/easy_money_0.wav	iy_E	n/a	0	sentence	1	160	Allison	1
35.804	0.0699999999999999	phoneme	8	35804	easy_money	2	0	phoneme	0.65	stimuli/audio/easy_money_0.wav	b_B	n/a	0	sentence	2	160	Allison	1
35.804	0.1999999999999999	word	916	35804	easy_money	2	0	word	0.65	stimuli/audio/easy_money_0.wav	n/a	by	0	sentence	2	160	Allison	1
35.874	0.13	phoneme	9	35874	easy_money	2	0	phoneme	0.72	stimuli/audio/easy_money_0.wav	ay_E	n/a	0	sentence	2	160	Allison	1
36.024	0.0699999999999999	phoneme	10	36024	easy_money	2	0	phoneme	0.87	stimuli/audio/easy_money_0.wav	b_B	n/a	0	sentence	3	160	Allison	1
36.024	0.2300000000000001	word	917	36024	easy_money	2	0	word	0.87	stimuli/audio/easy_money_0.wav	n/a	Bill	0	sentence	3	160	Allison	1
36.094	0.09	phoneme	11	36094	easy_money	2	0	phoneme	0.94	stimuli/audio/easy_money_0.wav	ih_I	n/a	0	sentence	3	160	Allison	1
36.184	0.07	phoneme	12	36184	easy_money	2	0	phoneme	1.03	stimuli/audio/easy_money_0.wav	l_E	n/a	0	sentence	3	160	Allison	1
36.254	0.0799999999999998	phoneme	13	36254	easy_money	2	0	phoneme	1.1	stimuli/audio/easy_money_0.wav	g_B	n/a	0	sentence	4	160	Allison	1
36.254	0.5499999999999998	word	918	36254	easy_money	2	0	word	1.1	stimuli/audio/easy_money_0.wav	n/a	Glover	0	sentence	4	160	Allison	1
36.334	0.1100000000000001	phoneme	14	36334	easy_money	2	0	phoneme	1.18	stimuli/audio/easy_money_0.wav	l_I	n/a	0	sentence	4	160	Allison	1
36.444	0.05	phoneme	15	36444	easy_money	2	0	phoneme	1.29	stimuli/audio/easy_money_0.wav	ah_I	n/a	0	sentence	4	160	Allison	1
36.494	0.0999999999999998	phoneme	16	36494	easy_money	2	0	phoneme	1.34	stimuli/audio/easy_money_0.wav	v_I	n/a	0	sentence	4	160	Allison	1
36.594	0.2099999999999999	phoneme	17	36594	easy_money	2	0	phoneme	1.44	stimuli/audio/easy_money_0.wav	er_E	n/a	0	sentence	4	160	Allison	1
37.354	0.1099999999999998	phoneme	300	37354	easy_money	2	0	phoneme	2.2	stimuli/audio/easy_money_0.wav	ch_B	n/a	1	sentence	0	160	Allison	1
37.354	0.3499999999999996	word	996	37354	easy_money	2	0	word	2.2	stimuli/audio/easy_money_0.wav	n/a	Charles	1	sentence	0	160	Allison	1
37.464	0.0499999999999998	phoneme	301	37464	easy_money	2	0	phoneme	2.31	stimuli/audio/easy_money_0.wav	aa_I	n/a	1	sentence	0	160	Allison	1
37.514	0.06	phoneme	302	37514	easy_money	2	0	phoneme	2.36	stimuli/audio/easy_money_0.wav	r_I	n/a	1	sentence	0	160	Allison	1
37.574	0.0500000000000002	phoneme	303	37574	easy_money	2	0	phoneme	2.42	stimuli/audio/easy_money_0.wav	l_I	n/a	1	sentence	0	160	Allison	1
37.624	0.0799999999999996	phoneme	304	37624	easy_money	2	0	phoneme	2.47	stimuli/audio/easy_money_0.wav	z_E	n/a	1	sentence	0	160	Allison	1
37.734	0.1299999999999999	phoneme	305	37734	easy_money	2	0	phoneme	2.58	stimuli/audio/easy_money_0.wav	ey_B	n/a	1	sentence	1	160	Allison	1
37.734	0.52	word	997	37734	easy_money	2	0	word	2.58	stimuli/audio/easy_money_0.wav	n/a	Acres	1	sentence	1	160	Allison	1
37.864	0.1200000000000001	phoneme	306	37864	easy_money	2	0	phoneme	2.71	stimuli/audio/easy_money_0.wav	k_I	n/a	1	sentence	1	160	Allison	1
37.984	0.1499999999999999	phoneme	307	37984	easy_money	2	0	phoneme	2.83	stimuli/audio/easy_money_0.wav	er_I	n/a	1	sentence	1	160	Allison	1
38.134	0.1200000000000001	phoneme	308	38134	easy_money	2	0	phoneme	2.98	stimuli/audio/easy_money_0.wav	z_E	n/a	1	sentence	1	160	Allison	1
38.254	0.1	phoneme	328	38254	easy_money	2	0	phoneme	3.1	stimuli/audio/easy_money_0.wav	k_B	n/a	1	sentence	2	160	Allison	1
38.254	0.3799999999999999	word	1006	38254	easy_money	2	0	word	3.1	stimuli/audio/easy_money_0.wav	n/a	called	1	sentence	2	160	Allison	1
38.354	0.1299999999999999	phoneme	329	38354	easy_money	2	0	phoneme	3.2	stimuli/audio/easy_money_0.wav	ao_I	n/a	1	sentence	2	160	Allison	1
38.484	0.06	phoneme	330	38484	easy_money	2	0	phoneme	3.33	stimuli/audio/easy_money_0.wav	l_I	n/a	1	sentence	2	160	Allison	1
38.544	0.0899999999999998	phoneme	331	38544	easy_money	2	0	phoneme	3.39	stimuli/audio/easy_money_0.wav	d_E	n/a	1	sentence	2	160	Allison	1
38.634	0.08	phoneme	332	38634	easy_money	2	0	phoneme	3.48	stimuli/audio/easy_money_0.wav	m_B	n/a	1	sentence	3	160	Allison	1
38.634	0.1899999999999999	word	1007	38634	easy_money	2	0	word	3.48	stimuli/audio/easy_money_0.wav	n/a	me	1	sentence	3	160	Allison	1
38.714	0.1099999999999998	phoneme	333	38714	easy_money	2	0	phoneme	3.56	stimuli/audio/easy_money_0.wav	iy_E	n/a	1	sentence	3	160	Allison	1
38.824	0.06	phoneme	334	38824	easy_money	2	0	phoneme	3.67	stimuli/audio/easy_money_0.wav	ao_B	n/a	1	sentence	4	160	Allison	1
38.824	0.1400000000000001	word	1008	38824	easy_money	2	0	word	3.67	stimuli/audio/easy_money_0.wav	n/a	on	1	sentence	4	160	Allison	1
38.884	0.08	phoneme	335	38884	easy_money	2	0	phoneme	3.73	stimuli/audio/easy_money_0.wav	n_E	n/a	1	sentence	4	160	Allison	1
38.964	0.06	word	1009	38964	easy_money	2	0	word	3.81	stimuli/audio/easy_money_0.wav	n/a	a	1	sentence	5	160	Allison	1
38.964	0.06	phoneme	336	38964	easy_money	2	0	phoneme	3.81	stimuli/audio/easy_money_0.wav	ah_S	n/a	1	sentence	5	160	Allison	1
39.024	0.08	phoneme	337	39024	easy_money	2	0	phoneme	3.87	stimuli/audio/easy_money_0.wav	th_B	n/a	1	sentence	6	160	Allison	1
39.024	0.4299999999999997	word	1010	39024	easy_money	2	0	word	3.87	stimuli/audio/easy_money_0.wav	n/a	Thursday	1	sentence	6	160	Allison	1
